$3.5 million.	$3.5 milyon.
We bit our hands.	Kinagat niya ang kamay ko.
We bit our legs.	Kinagat niya ang binti ko.
We both like it.	Gusto natin pareho.
We bought medicine.	Bumili kami ng gamot.
We broke up.	Naghiwalay na kami.
We built.	Binuo namin.
We called the doctor.	Tinawag namin ang doktor.
We called the nurse.	Tinawag namin ang nurse.
We can be polite.	Maaari tayo maging magalang.
We can be quiet.	Kaya naming tumahimik.
We can count.	Kaya naming magbilang.
We can dance.	Kaya naming sumayaw.
We can dance.	Kaya naming magsayaw.
We can do it.	Kaya natin gawin.
We can do it.	Kaya namin gawin.
We can do this!	Kaya natin ito!
We can do this.	Kaya natin ito.
We can fight.	Kaya naming lumaban.
We can fight.	Kaya naming makipaglaban.
We can play.	Kaya naming maglaro.
We can read.	Kaya naming magbasa.
We can run.	Kaya naming tumakbo.
We can see.	Tayo ay nakakakita.
We can sing.	Kaya naming kumanta.
We can sit.	Kaya naming umupo.
We can stand.	Kaya naming tumayo.
We can still recover.	Pwede pa namang bumawi.
We can still recover.	Maaari pa namang bumawi.
We can talk.	Kaya naming magsalita.
We can use this.	Maaari nating gamitin ito.
We can watch.	Kaya naming manood.
We can write.	Kaya naming magsulat.
We cannot do anything.	Wala tayong magagawa.
We cannot do anything.	Wala kaming magagawa.
We cannot feel.	Hindi kami makaramdam.
We cannot hear.	Hindi kami makarinig.
We cannot see.	Hindi kami makakita.
We cared for her.	Inalagaan niya kami.
We cared for him.	Inalagaan niya kami.
We cared for them.	Inalagaan niya kami.
We clean the room.	Naglilinis kami ng kwarto.
We cleaned the room.	Naglinis kami ng kwarto.
We closed early.	Nagsara kami ng maaga.
We closed early.	Kami ay nagsara nang maaga.
We come in frequently.	Madalas kaming pumasok.
We contracted a disease.	Nahawa kami sa sakit.
We cook frequently.	Madalas kaming magluto.
We could never be.	Hindi magiging tayo.
We count frequently.	Madalas kaming magbilang.
We did drugs.	Gumamit kami ng droga.
We did it already.	Ginawa na namin.
We did not learn.	Hindi kami natuto.
We did so much.	Marami na tayong ginawa.
We died.	Namatay kami.
We do drugs.	Gumagamit kami ng droga.
We do not care.	Wala kaming pakialam.
We do not know how.	Hindi kami marunong.
We do not know.	Hindi namin alam.
We do not think.	Tingin namin hindi.
We don't have an hour.	Wala tayong isang oras.
We don't have any left.	Wala kaming natitira.
We don't have classes.	Wala tayong klase.
We don't know yet.	Hindi pa natin alam.
We don't want to be late.	Ayaw nating mahuli.
We donated blood.	Nagbigay kami ng dugo.
We eat early.	Maaga kaming kumakain.
We eat early.	Tayo ay maagang kumain.
We eat frequently.	Madalas kaming kumain.
We eat together.	Kumakain kami nang sabay.
We enjoy playing.	Masaya kaming naglalaro.
We enjoyed playing.	Masaya kaming naglaro.
We entered the clinic.	Pumasok kami sa klinik.
We exercised.	Nagehersisyo kami.
We fall down.	Natutumba tayo.
We feel cold.	Malamig kami.
We feel great.	Mabuti ang pakiramdam namin.
We feel warm.	Mainit-init kami.
We feel worse.	Mas masama ang pakiramdam niya.
We fell asleep.	Nakatulog kami.
We fell into a coma.	Kami ay nasa koma.
We find love.	Nakakahanap tayo ng pag ibig.
We forgot.	Nakalimutan namin.
We found a hospital.	Nakahanap kami ng ospital.
We found him.	Natagpuan naming siya.
We gathered medicine.	Kumuha kami ng mga gamot.
We gave blood.	Nagbigay kami ng dugo.
We gave her drugs.	Binigyan kami ng droga.
We gave her medicine.	Binigyan kami ng gamot.
We gave him a cast.	Binigyan kami ng kaste.
We gave him drugs.	Binigyan kami ng droga.
We gave him medicine.	Binigyan kami ng gamot.
We gave them medicine.	Binigyan kami ng gamot.
We get up.	Bumabangon tayo.
We give up.	Sumusuko tayo.
We go tomorrow.	Aalis tayo bukas.
We got a pet.	Nagkatuta na kami.
We got a wheelchair.	Mayroon kaming wheelchair.
We got an early start.	Maaga tayong nagsimula.
We got an X-ray.	Kumuha kami ng X-ray.
We got caught.	Nahuli kami.
We got cramps.	Pinulikat kami.
We got heavier.	Bumigat kami.
We got shorter.	Lumiit kami.
We got sick.	Nagkasakit kami.
We got the bag.	Nakuha namin ang bag.
We got the blanket.	Nakuha namin ang kumot.
We got the bottle.	Nakuha namin ang bote.
We got the chair.	Nakuha namin ang upuan.
We got the clock.	Nakuha namin ang orasan.
We got the comb.	Nakuha namin ang suklay.
We got the cup.	Nakuha namin ang baso.
We got the food.	Nakuha namin ang pagkain.
We got the fruits.	Nakuha namin ang prutas.
We got the ginger.	Nakuha namin ang luya.
We got the letter.	Nakuha namin ang liham.
We got the light.	Nakuha namin ang ilaw.
We got the picture.	Nakuha namin ang larawan.
We got the rice.	Nakuha namin ang kanin.
We got the salt.	Nakuha namin ang asin.
We got the sugar.	Nakuha namin ang asukal.
We got the table.	Nakuha namin ang mesa.
We got the towel.	Nakuha namin ang tuwalya.
We got the vegetables.	Nakuha namin ang gulay.
We got the vinegar.	Nakuha namin ang suka.
We got the water.	Nakuha namin ang tubig.
We got the wine.	Nakuha namin ang alak.
We got the wood.	Nakuha namin ang kahoy.
We got tired.	Kamiay napagod.
We got up at morning.	Bumangon kami sa umaga.
We grew taller.	Tumangkad kami.
We had a storm yesterday.	Binagyo kami kahapon.
We had no milk.	Wala kaming gatas.
We had studied it.	Napag-aralan namin ito.
We hallucinated.	Naghalusinasyon kami.
We have a disease.	May sakit kami.
We have a disease.	Mayroon kaming sakit.
We have a pencil.	Mayroon kaming lapis.
We have a tumor.	Mayroon siyang kanser.
We have already won.	Nanalo na kami.
We have an hour.	May isang oras tayo.
We have anxiety.	Mayroon kaming pagkabalisa.
We have bananas.	May saging kami.
We have cancer.	Mayroon kaming kanser.
We have helped many.	Marami kaming natulungan.
We have neighbors.	May mga kapitbahay tayo.
We have pencils.	Mayroon kaming mga lapis.
We have plenty of time.	Marami pa tayong oras.
We have three hours.	May tatlong oras tayo.
We have time.	May oras pa tayo.
We have to go.	Kailangan nating umalis.
We have.	Na mayroon tayo.
We hid.	Nagtago kami.
We injured her.	Sinaktan namin kami.
We injured him.	Sinaktan namin kami.
We injured them.	Sinaktan namin kami.
We join frequently.	Madalas kaming sumali.
We join frequently.	Madalas kaming sumama.
We just arrived.	Kararating lang namin.
We know nothing.	Wala kaming alam.
We learned much.	Marami kaming natutunan.
We learned nothing.	Wala kaming natutunan.
We leave immediately.	Aalis tayo agad.
We leave tonight.	Aalis tayo ngayong gabi.
We leave tonight.	Aalis tayo mamayang gabi.
We left the clinic.	Umalis kami sa klinik.
We left the dentist.	Umalis kami sa dentista.
We left the doctor.	Iniwan namin ang doktor.
We left the hospital.	Umalis kami sa ospital.
We left the medic.	Iniwan namin ang medic.
We left the pharmacy.	Umalis kami sa parmasya.
We like to drink.	Mahilig kaming uminom.
We like to play.	Mahilig kami maglaro.
We like to sleep.	Mahilig kaming matulog.
We listen frequently.	Madalas kaming makinig.
We live here.	Kami ay nakatira rito.
We live in the suburbs.	Nakatira kami sa nayon.
We look afraid.	Natatakot kami.
We look good.	Tayo ay maganda tingnan.
We look nervous.	Kinakabahan kami.
We look scared.	Natatakot kami.
We looked after her.	Tiningnan niya kami.
We looked after him.	Tiningnan niya kami.
We looked after them.	Tiningnan niya kami.
We looked for her.	Hinanap niya kami.
We looked for him.	Hinanap niya kami.
We looked for them.	Hinanap niya kami.
We looked.	Kami ay tumingin.
We lost weight.	Gumaan kami.
We lost.	Natalo kami.
We love each other.	Mahal namin ang isa't isa.
We love picnics.	Gusto namin ang mga piknik.
We love to eat.	Mahilig kaming kumain.
We massaged her.	Minasahe niya kami.
We massaged him.	Minasahe niya kami.
We may be late.	Baka mahuhuli kami.
We may be too late.	Huling-huli na yata tayo.
We met a writer.	Natagpo namin ang manunulat.
We met before.	Nagkita na tayo dati.
We met earlier.	Nagkita kami kanina.
We met earlier.	Nagkita na tayo dati.
We met on Sunday.	Nagkita kami nung Linggo.
We met once.	Nagkakilala kami dati.
We might be right.	Tama ata tayo.
We might be wrong.	Mali ata tayo.
We must check.	Kailangan nating siguraduhin.
We must not be late.	Hindi tayo dapat mahuli.
We need a bandage.	Kailangan niya ng bendahe.
We need a doctor.	Kailangan niya ng doktor.
We need a drink.	Kailangan niya ng inumin.
We need blood.	Kailangan niya ng dugo.
We need food.	Kailangan niya ng pagkain.
We need help.	Kailangan namin ng tulong.
We need ice.	Kailangan niya ng yelo.
We need sleep.	Kailangan ko ng tulog.
We need to go.	Kailangan na nating umalis.
We need to shower.	Kailangan niyang maligo.
We need to train.	Kailangan natin mag ensayo.
We need treatment.	Kailangan niya ng paggamot.
We need wood.	Kailangan natin ng kahoy.
We overdosed.	Nag-overdose kami.
We passed away.	Namatay kami.
We passed out.	Nawalan kami ng malay.
We performed surgery.	Nag-opera sila.
We pick up garbage.	Nagpupulot kami ng basura.
We pick up trash.	Nagpupulot kami ng basura.
We picked up garbage.	Nagpulot kami ng basura.
We picked up trash.	Nagpulot kami ng basura.
We planned.	Pinagplanuhan namin.
We play football.	Naglalaro kami ng football.
We play frequently.	Madalas kaming maglaro.
We play games.	Naglalaro kami.
We play rugby.	Naglalaro kami ng rugby.
We play sports.	Naglalaro kami ng sports.
We play tennis.	Naglalaro kami ng tennis.
We played already.	Naglaro na kami.
We played football.	Naglaro kami ng football.
We played games.	Naglaro kami.
We played rugby.	Naglaro kami ng rugby.
We played sports.	Naglaro kami ng sports.
We played tennis.	Naglaro kami ng tennis.
We pray.	Nagdadasal kami.
We prayed.	Nagdasal kami.
We pulled a muscle.	Napilay ang kalamnan niya.
We ran after the cat.	Hinabol namin ang pusa.
We ran out of ink.	Ubos na ang ating tinta.
We read already.	Nagbasa na kami.
We read frequently.	Madalas kaming magbasa.
We read.	Nagbasa kami.
We remember.	Naaalala namin.
We run frequently.	Madalas kaming tumakbo.
We sang for her.	Ipinagkanta namin siya.
We sat down on the floor.	Umupo kami sa sahig.
We sat in a ring.	Umupo kami nang pabilog.
We sat there.	Umupo kami doon.
We saw him.	Nakita namin siya.
We saw the medic.	Nakita namin ang medic.
We searched for her.	Hinanap niya kami.
We searched for him.	Hinanap niya kami.
We searched for them.	Hinanap niya kami.
We sent her downstairs.	Pinapunta kami sa baba.
We sent her upstairs.	Pinapunta kami sa taas.
We sent him downstairs.	Pinapunta kami sa baba.
We sent him upstairs.	Pinapunta kami sa taas.
We shall not yield.	Hindi kami susuko.
We should be quiet.	Tayo ay dapat tumahimik.
We should do well.	Dapat nating galingan.
We should go home.	Umuwi na tayo.
We should go.	Kailangan naminng pumunta.
We should stay quiet.	Dapat tumahimik kami.
We should try it again.	Subukan natin ulit.
We should vote.	Tayo ay dapat bumoto.
We showered her.	Pinaliguan niya kami.
We showered him.	Pinaliguan niya kami.
We sing frequently.	Madalas kaming kumanta.
We sleep frequently.	Madalas kaming matulog.
We sleep on the bed.	Natutulog kami sa kama.
We sleep on the couch.	Natutulog kami sa sopa.
We slept in a tent.	Natulog kami sa tolda.
We slept on the bed.	Natulog kami sa kama.
We slept on the couch.	Natulog kami sa sopa.
We slept on the floor.	Natulog kami sa sala.
We slept outside.	Natulog kami sa labas.
We smoke cigarettes.	Naninigarilyo kami.
We smoked cigarettes.	Nanigarilyo kami.
We spoke yesterday.	Nag-usap kami kahapon.
We start to dance.	Nagsimula tayong sumayaw.
We still much to do.	Marami pa tayong gagawin.
We study Arabic.	Nag-aaral kami ng Arabo.
We study frequently.	Madalas kaming mag-aral.
We study together.	Mag-aral tayo nang sabay.
We summoned the nurse.	Tinawag namin ang nurse.
We surrendered.	Sumuko kami.
We sweat.	Tayo ay nagpapawis.
We take.	Kinukuha natin.
We talk frequently.	Madalas kaming magsalita.
We talked.	Nag-usap kami.
We thanked him.	Nagpasalamat kami sa kanya.
We think.	Tingin namin.
We think.	Tayo ay nag-iisip.
We took a nap.	Umidilip kami.
We took her height.	Tinimbang niya kami.
We took her weight.	Tinimbang niya kami.
We took his height.	Tinimbang niya kami.
We took his weight.	Tinimbang niya kami.
We travel light.	Magaan kami maglakbay.
We traveled on foot.	Naglakbay kami ng nakapaa.
We traveled.	Kami ay naglakbay.
We trip frequently.	Madalas kaming nadadapa.
We understand.	Naiintindihan namin.
We used to drink.	Dati kaming manginginom.
We used to smoke.	Dati kaming naninigarilyo.
We usually win.	Madalas kaming manalo.
We visited her.	Binisita niya kami.
We visited him.	Binisita niya kami.
We visited them.	Binisita niya sila.
We waited.	Naghintay kami.
We walk frequently.	Madalas kaming maglakad.
We want a car.	Gusto namin ng kotse.
We want to exercise.	Gusto niya magehersisyo.
We want to feel better.	Gusto niyang gumaling.
We watched a movie.	Nanood kami ng pelikula.
We went biking.	Kami ay namisikileta.
We went fishing.	Kami ay nangisda.
We went hiking.	Kami ay namundok.
We went home together.	Sabay tayong umuwi.
We went swimming.	Kami ay lumangoy.
We went there.	Kami ay pumunta doon.
We went to the office.	Pumunta kami sa opisina.
We went.	Kami ay pumunta.
We were addicted.	Dati kaming adik.
We were drunk.	Dati kaming lasing.
We were given a vaccine.	Binakanuhan kami.
We were here yesterday.	Nanadito kami kahapon.
We were in a coma.	Kami ay nasa koma.
We were infected.	Nagkasakit kami.
We were panicking.	Kami ay natataranta.
We were ranked 28th.	Nasa ika-28 tayo noon.
We were sick.	Nagkasakit kami.
We were too late.	Masyado na tayong nahuli.
We will pray.	Magdadasal kami.
We will be family.	Tayo ay magiging pamilya.
We will believe.	Maniniwala kami.
We will believe.	Maniniwala tayo.
We will build.	Bubuuin namin.
We will drive.	Magmaneho tayo.
We will eat breakfast.	Kakain kami almusal.
We will eat dinner.	Kakain kami hapunan.
We will eat later.	Kakain kami mamaya.
We will eat lunch.	Kakain kami tanghalian.
We will eat tomorrow.	Kakain kami bukas.
We will fight each other.	Maglalabanan tayo.
We will fight.	Maglalaban tayo.
We will have a fight.	Mag-aaway tayo.
We will lob you.	Iiitsahin ka namin.
We will not get lost.	Hindi tayo maliligaw.
We will not lose!	Hindi kami matatalo!
We will plan.	Pagpaplanuhan namin.
We will ride the bus.	Sasakay kami sa bus.
We will teach you.	Tuturuan ka naming.
We will throw away.	Itatapon natin.
We will throw you.	Ibabato ka namin.
We will toss you.	Ihahagis ka namin.
We won in gambling.	Nanalo kami sa sugal.
We won the war.	Nanalo kami sa giyera.
We won.	Nanalo kami.
We won't be late.	Hindi tayo mahuhuli.
We work frequently.	Madalas kaming magtrabaho.
We would accompany you.	Sasamahan ka namin.
We would come with you.	Samahan ka namin.
We would go with you.	Sasamahan ka namin.
We would join you.	Samahan ka namin.
We write frequently.	Madalas kaming magsulat.
We wrote already.	Nagsulat na kami.
We'd go with you.	Sasamahan ka namin.
We'll be late.	Mahuhuli kami.
We'll be too late.	Masyado na tayong gagabihin.
We'll catch up later.	Hahabol kami mamaya.
We'll come back later.	Babalik kami mamaya.
We'll come back tomorrow.	Babalik tayo bukas.
We'll continue later.	Itutuloy namin mamaya.
We'll find out later.	Malalaman namin mamaya.
We'll finish later.	Tapusin natin mamaya.
We'll go tomorrow.	Pupunta kami bukas.
We'll look after Tom.	Babantayan namin si Tom.
We'll make it fly.	Paliliparin natin ito.
We'll meet later.	Magkita tayo mamaya.
We'll meet on Sunday.	Magkikita kami sa Linggo.
We'll play on Sunday.	Maglalaro kami sa Linggo.
We'll see you later.	Kikitain ka namin mamaya.
We'll see you tomorrow.	Magkita tayo bulas.
We'll talk later.	Magusap tayo mamaya.
We'll talk tomorrow.	Mag-uusap tayo bukas.
We'll talk tonight.	Mag-usap tayo ngayong gabi.
We'll talk tonight.	Mag-uusap tayo ngayong gabi.
We'll wait.	Maghihintay kami.
We'll work tomorrow.	Mag-tatrabaho tayo bukas.
We're a bit late.	Medya nahuli tayo.
We're a little early.	Medyo maaga tayo.
We're a little late.	Medyo huli na tayo.
We're all waiting.	Naghihintay tayong lahat.
We're already late.	Late na tayo.
We're already late.	Huli naman na tayo.
We're already too late.	Huling-huli na tayo.
We're an hour behind.	Huli tayo ng isang oras.
We're back early.	Maaga kaming nakabalik.
We're back early.	Nakabalik tayo ng maaga.
We're closed tomorrow.	Sarado kami bukas.
We're closing early.	Maaga tayong magsasara.
We're coming back tomorrow.	Babalik kami bukas.
We're early.	Tayo ay maaga.
We're full.	Busog na kami.
We're going to be late.	Mahuhuli na tayo.
We're going to come again.	Babalik kami muli.
We're here early.	Maaga kaming nakauwi.
We're home early.	Nakauwi tayo ng maaga.
We're home early.	Umuwi kami nang maaga.
We're in a hurry.	Nagmamadali tayo.
We're late for school.	Huli na kami sa klase.
We're late.	Huli na tayo.
We're leaving tomorrow.	Aalis na kami bukas.
We're leaving tonight.	Aalis tayo ngayong gabi.
We're neighbors.	Magkapitbahay kami.
We're not late.	Hindi kami huli.
We're open tomorrow.	Bukas kami bukas.
We're past that.	Tapos na tayo doon.
We're really late.	Huli na talaga tayo.
We're running late.	Nahuhuli na tayo.
We're short on time.	Kaunti na lang ang oras natin.
We're too late.	Masyado na kaming huli.
We're up early.	Maaga kaming bumangon.
We're up early.	Maaga tayong nagising.
We've already met.	Nagkita na kami.
We've had a long week.	Mahaba ang ating linggo.
We've made enquiries.	Nagtanong-tanong kami.
We've seen it before.	Nakita na natin ito dati.
Wear a belt.	Magsuot ng sinturon.
Wear the ID.	Isuot ang ID.
We're a family.	Pamilya tayo.
Welcome, idiots!	Maligayang pagdating, mga tanga!
Well done!	Mahusay!
Well now.	Maayos na.
Well now, good-bye.	At dahil dyan, paalam.
We're going to be late!	Mahuhuli na tayo!
Were you busy yesterday?	Abala ka ba kahapon?
Were you hurt?	Nasaktan ka ba?
Whale shark is cheap.	Mura ang butanding.
Whale shark is expensive.	Mahal ang butanding.
Whales are sad.	Malungkot ang mga balyena.
What a lovely day!	Kay gandang araw!
What a lovely doll!	Kay gandang manika!
What a mouthful!	Napakahaba naman!
What a nice time!	Napakaganda ng oras!
What a pretty butt.	Napakagandang pwet.
What a strong wind!	Ang lakas ng hangin!
What about you?	Ano naman sa iyo?
What am I doing here?	Ano ang ginagawa ko dito?
What am I going to do?	Ano ang gaagawin ko?
What are these?	Ano ang mga ito?
What are they after?	Ano ang habol nila?
What are they doing?	Anong ginagawa nila?
What are we doing?	Ano gagawin natin?
What are you after?	Sno ang habol mo?
What are you choosing?	Ano ang iyong pipiliin?
What are you doing?	Anong ginagawa mo?
What are you doing?	Ano'ng ginagawa mo?
What are you doing?	Ano ang ginagawa mo?
What are you doing?	Ano ang iyong ginagawa?
What are you going to play?	Anong lalaruin mo?
What are you playing?	Ano ang nilalaro mo?
What are you reading?	Ano'ng binabasa mo?
What are your likes?	Ano ano ang mga gusto mo?
What can I do?	Ano ang magagawa ko?
What can I do?	Anong maaari kong gawin?
What can I say?	Ano ang masasabi ko?
