Good morning, he said.	Magandang umaga, sinabi niya.
The restroom was gross.	Ang banyo ay nakakadiri.
The result was good.	Ang kinalabasan ay maganda.
The rice is exceptional.	Katangi-tangi ang kanin.
The rice is not yet cooked.	Hindi pa naluluto ang kanin.
The rival bee is a keeper.	Tagabantay ang kalabang bubuyog.
The rival bee is a shooter.	Tagatira ang kalabang bubuyog.
The rival carabao lost.	Natalo ang kalabang kalabaw.
The rival carabao won.	Nanalo ang kalabang kalabaw.
The rival puppy is a keeper.	Tagabantay ang kalabang tuta.
The rival puppy is a shooter.	Tagatira ang kalabang tuta.
The rival shark lost.	Natalo ang kalabang pating.
The rival shark won.	Nanalo ang kalabang pating.
The rival tiger is a keeper.	Tagabantay ang kalabang tigre.
The rival tiger is a shooter.	Tagatira ang kalabang tigre.
The rivals fought hard.	Naglaban ang magkaribal.
The road are too dark.	Sobrang dilim sa kalsada.
The road was blocked.	Ang kalsada ay naharangan.
The roads are slippery.	Ang mga kalsada ay madulas.
The roasted pig is delicious!	Ang sarap ng lechon!
The rock is a writer.	Isang manunulat ang bato.
The rock is writing a letter.	Nagsusulat ng liham ang bato.
The rock was thrown by the bear.	Binato ang bato ng oso.
The rock wrote me a letter.	Sinulatan ako ng liham ng bato.
The room is full of stuff.	Ang kwarto ay puno ng gamit.
The room smells clean.	Amoy malinis ang kwarto.
The rooms are for the lions.	Ang kwarto ay para sa mga leon.
The rooms are for the pigs.	Ang kwarto ay para sa mga baboy.
The rooster must see her.	Kailangan siyang makita ng tandang.
The roosters already did that.	Nagawa na iyan ng mga tandang.
The roosters were cheerful.	Masayahin ang mga tandang.
The roosters will find them.	Mahahanap sila ng mga tandang.
The rose is blooming.	Ang rosas ay namumukadkad.
The rose is exceptional.	Katangi-tangi ang rosas.
The ruble has cratered.	Ang ruble ay may bunganga.
The rumor turned out to be true.	Tunay pala yung tsismis.
The runner runs fast.	Mabilis tumakbo ang mananakbo.
The school has many buildings.	Maraming gusali sa paaralan.
The school is far to walk.	Malayo lakarin ang paaralan.
The school is full of deer.	Puno ang paaralan ng usa.
The scorpion folded one.	Nagtupi ang alakdan ng isa.
The scorpion keep sabbath.	Nagsisimba ang alakdan.
The scorpion runs fast.	Tumakbo ang alakdan ng mabilis.
The scorpion should be studying.	Dapat nag-aaral ang alakdan.
The scorpion sneaks up behind.	Lumikod ang alakdan.
The scorpion wouldn't have thought.	Hindi inakala ng alakdan.
The scorpion's friend is bad.	Masama ang kaibigan ng alakdan.
The scorpion's team attacks.	Umatake ang koponan ng alakdan.
The scorpion's team loses.	Natalo ang koponan ng alakdan.
The scorpion's team win.	Nanalo ang koponan ng alakdan.
The scorpions return home.	Umuwi ang mga alakdan.
The script is hilarious.	Ang script ay nakakatawa.
The sea was so beautiful.	Sobrang ganda ng dagat.
The seagull attends training.	Nagsanay ang tagak.
The seagull can multiply.	Kayang magparami ng tagak.
The seagull controls waves.	Nakokontrol ng tagak ang alon.
The seagull fails the exam.	Bumagsak ang tagak sa pagsusulit.
The seagull had an exam.	Nagkaroon ng pagsusulit ang tagak.
The seagull has a family.	May pamilya ang tagak.
The seagull has many friends.	Maraming kaibigan ang tagak.
The seagull hides well.	Nagtago ang tagak ng mabuti.
The seagull hits an apple.	Tumama ang tagak sa mansanas.
The seagull is not hurt.	Hindi nasaktan ang tagak.
The seagull is watching Naruto.	Nanonood ang tagak ng naruto.
The seagull jumps high.	Tumalon ang tagak ng mataas.
The seagull loves girls.	Mahal ng tagak ang mga babae.
The seagull passes the exam.	Pumasa ang tagak sa pagsusulit.
The seagulls all sat.	Umupo ang lahat ng mga tagak.
The seagulls are all dead.	Patay ang mga tagak.
The seagulls are unemployed.	Walang trabaho ang mga tagak.
The seagulls didn't pay me.	Hindi ako binayaran ng mga tagak.
The seagulls had nothing.	Walang pagmamay-ari ang mga tagak.
The seagulls kissed again.	Naghalikan ang mga tagak ulit.
The seagulls look rather fake.	Mukhang peke ang mga tagak.
The seagulls missed him.	Hindi nakita ng mga tagak siya.
The seagulls see dan.	Nakita ng mga tagak si dan.
The seagulls warned you.	Binalaan ng mga tagak siya.
The seagulls were all busy.	Abala ang lahat ng mga tagak.
The second chair is broken!	Sira ang ikalawang silya!
The second chair is broken!	Sira ang ikalawang upuan!
The second chair is broken.	Sira ang ikalawang silya.
The second chair is broken.	Sira ang ikalawang upuan.
The second chair is vacant.	Bakante ang ika-dalawang silya.
The second chair is vacant.	Bakante ang pangalawang upuan.
The second computer is broken!	Sira ang ikalawang kompyuter!
The second computer is broken.	Sira ang ikalawang kompyuter.
The second seat is vacant.	Bakante ang ika-dalawang upuan.
The second seat is vacant.	Bakante ang pangalawang upuan.
The second table is broken!	Sira ang ikalawang mesa!
The second table is broken.	Sira ang ikalawang mesa.
The section Willow is naughty.	Makulit ang pangkat Willow.
The security guard is sleeping.	Ang gwardya ay natutulog.
The semester is almost done.	Malapit na matapos ang semestre.
The sesame is artificial.	Artipisyal ang linga.
The sesame is exceptional.	Katangi-tangi ang linga.
The sesame is nutritious.	Masustansya ang linga.
The seventh chair is vacant.	Bakante ang ika-pitong upuan.
The seventh chair is vacant.	Bakante ang pang-pitong upuan.
The seventh seat is vacant.	Bakante ang ika-pitong upuan.
The seventh seat is vacant.	Bakante ang pang-pitong upuan.
The shark had no injuries.	Walang sugat ang pating.
The shark has a lot of friends.	Maraming kaibigan ang pating.
The shark is excited to win.	Natutuwa ang pating na manalo.
The shark is sad to lose.	Malungkot ang pating na matalo.
The shark makes a mistake.	Nagkamali ang pating.
The shark's bike broke.	Nasira ang bisikleta ng pating.
The shark's bike was fast.	Mabilis ang bisikleta ng pating.
The sharks cross the line.	Tumawid sa linya ang mga pating.
The sharks knows the routes.	Alam ng mga pating ang ruta.
The sharks left the city.	Umalis ng siyudad ang mga pating.
The sheep are on the run.	Ang mga tupa ay tumatakbo.
The sheep closes the notebook.	Sinarado ng tupa ang talaan.
The sheep come up with a plan.	Bumuo ng plano ang mga tupa.
The sheep finds a notebook.	Nakakita ang tupa ng talaan.
The sheep has friends.	May kaibigan ang kakaibang tupa.
The sheep is in a car.	Nasa isang sasakyan ang tupa.
The sheep opens the notebook.	Binuksan ng tupa ang talaan.
The ship is bound for Finland.	Papuntang Finland ang barko.
The ship left ahead of time.	Maagang umalis ang barko.
The show is starting.	Ang palabras ay nagsisimula na.
The shrimp acquires a sword.	Nakakuha ng espada ang hipon.
The shrimp defeats a monster.	Natalo ng hipon ang halimaw.
The shrimp forms a group.	Bumuo ng grupo ang mga hipon.
The shrimp is not hairy.	Hindi mabuhok ang hipon.
The shrimp is not the savior.	Hindi tagapagligtas ang hipon.
The shrimp is on its way upwards.	Patungo sa itaas ang hipon.
The shrimp signed up for the game.	Sumali ang hipon sa laro.
The shrimp trains everyday.	Nag-ensayo ang hipon araw-araw.
The shrimps cannot do it.	Hindi kaya ng mga hipon.
The shrimps require wings.	Kailangan ng mga hipon ng pakpak.
The signal strength is weak.	Ang signal ay sobrang mahina.
The sixth chair is vacant.	Bakante ang ika-anim na upuan.
The sixth chair is vacant.	Bakante ang pang-anim na upuan.
The sixth seat is vacant.	Bakante ang ika-anim na upuan.
The sixth seat is vacant.	Bakante ang pang-anim na upuan.
The skies will be clear.	Magiging maaliwalas ang langit.
The sky at dusk is red.	Ang langit ay pula sa takipsilim.
The sky is colored blue.	Kulay asul ang langit.
The sky is filled with stars.	Puno ng mga bituwin ang langit.
The sky is full of ash.	Puno ng abo ang langit.
The slipper is the right fit.	Ang tsinelas ay tama ang lapat.
the smoke and everything else.	ang usok at lahat ng iba pa.
The snail can't sleep.	Hindi ang suso makatulog.
The snail did see him.	Nakita ng suso nga siya.
The snail didn't scream.	Hindi ang suso sumigaw.
The snail didn't see her.	Di ng suso siya nakita.
The snail drinks water.	Umiinom ng tubig ang suso.
The snail haven't tried.	Hindi ng suso pa nasubukan.
The snail hit on an idea.	Meron ang suso naisip.
The snail know that you are a teacher.	Alam ng suso guro ka.
The snail like your mirror.	Gusto ng suso ang salamin mo.
The snail listen to music.	Nakikinig ang suso sa musika.
The snail may die tomorrow.	Maaari ang suso mamatay bukas.
The snail miss her so much.	Namimiss ng suso na siya.
The snail saw tom a while back.	Nakita ng suso si tom kanina.
The snail think he'll come.	Tingin ng suso darating siya.
The snail walked alone.	Naglakad ang suso mag-isa.
The snail was out all day.	Buong araw ang suso wala sa bahay.
The snail was very hungry.	Ginutom ang suso ng maigi.
The snail won't lose anything.	Walang mawawala sa akin.
The snails ignored me.	Hindi nila ang suso pinansin.
The snails put the blame on me.	Ang suso ang sinisi nila.
The snails stopped the music.	Pinigil nila ang musika.
The snake goes round and round.	Umikot ng umikot ang ahas.
The snake had other plans.	Mayroong ibang plano ang ahas.
The snake has a pet snake.	Mayroong alagang ahas ang ahas.
The snake has lots of friends.	Maraming kaibigan ang ahas.
The snake has no family.	Walang pamilya ang ahas.
The snake is a carpenter.	Ang ahas ay isang karpintero.
The snake is a lawyer.	Ang ahas ay isang abugado.
The snake is a rebel.	Ang ahas ay isang rebelde.
The snake is not friendly.	Hindi palakaibigan ang ahas.
The snake knows how to skate.	Marunong mag-iskating ang ahas.
The snake learns from the master.	Natuto ang ahas sa master.
The snake made no mistakes.	Hindi nagkamali ang ahas.
The snake performs a routine.	Nagtanghal ang ahas.
The snake's coach is happy.	Natuwa ang tagapagturo ng ahas.
The snake's jaw is elastic.	Nababanat ang panga ng ahas.
The snakes are on a plane.	Nasa eroplano ang mga ahas.
The snow, she replies.	Ang niyebe, sagot niya.
The soap is gentle to the hands.	Banayad sa kamay ang sabon.
The soccer game is tomorrow.	ang soccer game ay bukas na.
The soldiers are coming.	Ang mga sundalo ay paparating.
The song today is nice.	ang ganda ng kanta ngayong umaga.
The soup is on the table.	Ang sopas ay nasa lamesa.
The soup smells great.	Mabango ang amoy ng sopas.
The soup tasted salty.	Ang sopas ay naglasang maalat.
The soup was cooked well.	Ang sopas ay naluto ng mabuti.
The soursop is artificial.	Artipisyal ang guyabano.
The soursop is beautiful.	Maganda ang guyabano.
The soursop is delicious.	Masarap ang guyabano.
The soursop is exceptional.	Katangi-tangi ang guyabano.
The soursop is fragrant.	Mahalimuyak ang guyabano.
The soursop is inadequate.	Kulang ang guyabano.
The soursop is nutritious.	Masustansya ang guyabano.
The soursop is tasteless.	Matabang ang guyabano.
The soursop is valuable.	Mahalaga ang guyabano.
The spider beats the enemy.	Tinalo ng gagamba ang kalaban.
The spider buys stuff.	Bumili ang gagamba ng gamit.
The spider discovers something.	May nadiskubre ang gagamba.
The spider enters the village.	Pumasok ang gagamba sa bayan.
The spider fights hard.	Lumaban ng malakas ang gagamba.
The spider has a round body.	Bilog ang katawa ng gagamba.
The spider has long legs.	Mahaba ang paa ng gagamba.
The spider is in danger.	Nasa panganib ang gagamba.
The spider is near the river.	Malapit ang gagamba sa ilog.
The spider leaves the village.	Umalis ang gagamba sa bayan.
The spider lives in a village.	Tumitira ang gagamba sa bayan.
The spider makes a decision.	Nagdesisyon ang gagamba.
The spider makes friends.	Nakipagkaibigan ang gagamba.
The spider regain energy.	Nakakuha ng lakas ang gagamba.
The spider replenishes energy.	Nagpalakas ang gagamba.
The spider seeks help.	Humingi ng tulong ang gagamba.
The spider senses danger.	Nakaramdam ng panganib ang gagamba.
The spider's spirit helps.	Tumulong ang kaluluwa ng gagamba.
The spirit ant is effective.	Epektibo ang espiritung langgam.
The spirit ant is hungry.	Gutom ang espiritung langgam.
The spirit bee is effective.	Epektibo ang espiritung bubuyog.
The spirit bee is hungry.	Gutom ang espiritung bubuyog.
The spirit spider is hungry.	Gutom ang espiritung gagamba.
The squid believe in god.	Naniniwala ang pusit sa diyos.
The squid believe you.	Naniniwala ang pusit sayo.
The squid did see him.	Nakita ng pusit nga siya.
The squid didn't vote for tom.	Hindi ng pusit binoto si tom.
The squid do not care.	Wala ang pusit pakialam.
The squid do not want any sugar.	Ayaw ng pusit ng may asukal.
The squid do not want to rest.	Ayaw ng pusit magpahinga.
The squid drink coffee.	Umiinom ang pusit ng kape.
The squid drink milk.	Nainom ang pusit ng gatas.
The squid haven't tried.	Hindi ng pusit pa nasubukan.
The squid just finished.	Kakatapos ng pusit lang.
The squid know tom lied.	Alam ng pusit nagsinungaling si tom.
The squid like playing tennis.	Gusto ng pusit magtenis.
The squid like the dog.	Gusto ng pusit yung aso.
The squid like you.	May gusto ang pusit sa iyo.
The squid like your cat.	Gusto ng pusit ang pusa mo.
The squid love teaching.	Mahal ng pusit ang pagtuturo.
The squid sort of like him.	Medyo gusto ng pusit siya.
The squid stole it from tom.	Ninakaw ng pusit ito kay tom.
The squid went on reading.	Tinuloy ng pusit ang pagbabasa.
The squid will call back soon.	Tatawag ang pusit agad.
The squid will leave it up to you.	Nasa iyo na iyon.
The squid won't lose!	Di ang pusit magpapatalo!
The star apple is appropriate.	Akma ang kaimito.
The star apple is artificial.	Artipisyal ang kaimito.
The star apple is beautiful.	Maganda ang kaimito.
The star apple is brown.	Kayumanggi ang kaimito.
The star apple is colorful.	Makulay ang kaimito.
The star apple is costly.	Magastos ang kaimito.
The star apple is delicious.	Masarap ang kaimito.
The star apple is destroyed.	Wasak ang kaimito.
The star apple is dusty.	Maalikabok ang kaimito.
The star apple is effective.	Mabisa ang kaimito.
The star apple is exceptional.	Katangi-tangi ang kaimito.
The star apple is expensive.	Mahal ang kaimito.
The star apple is fragrant.	Mahalimuyak ang kaimito.
The star apple is healthy.	Malusog ang kaimito.
The star apple is inadequate.	Kulang ang kaimito.
The star apple is natural.	Natural ang kaimito.
The star apple is nutritious.	Masustansya ang kaimito.
The star apple is perfect.	Perpekto ang kaimito.
The star apple is prohibited.	Bawal ang kaimito.
The star apple is slippery.	Madulas ang kaimito.
The star apple is special.	Espesyal ang kaimito.
The star apple is spicy.	Maanghang ang kaimito.
The star apple is sticky.	Malagkit ang kaimito.
The star apple is strange.	Kakaiba ang kaimito.
The star apple is tasteless.	Matabang ang kaimito.
The star apple is valuable.	Mahalaga ang kaimito.
The star fell on the sun.	Ang bituin ay nahulog sa araw.
The starfruit is appropriate.	Akma ang balimbing.
The starfruit is artificial.	Artipisyal ang balimbing.
The starfruit is beautiful.	Maganda ang balimbing.
The starfruit is bland.	Matabang ang balimbing.
The starfruit is brown.	Kayumanggi ang balimbing.
The starfruit is colorful.	Makulay ang balimbing.
The starfruit is costly.	Magastos ang balimbing.
The starfruit is delicious.	Masarap ang balimbing.
The starfruit is destroyed.	Wasak ang balimbing.
The starfruit is dusty.	Maalikabok ang balimbing.
The starfruit is effective.	Mabisa ang balimbing.
The starfruit is elusive.	Mailap ang balimbing.
The starfruit is exceptional.	Katangi-tangi ang balimbing.
The starfruit is expensive.	Mahal ang balimbing.
The starfruit is fragrant.	Mahalimuyak ang balimbing.
The starfruit is healthy.	Malusog ang balimbing.
The starfruit is illegal.	Ilegal ang balimbing.
The starfruit is inadequate.	Kulang ang balimbing.
The starfruit is natural.	Natural ang balimbing.
The starfruit is nutritious.	Masustansya ang balimbing.
The starfruit is perfect.	Perpekto ang balimbing.
The starfruit is prohibited.	Bawal ang balimbing.
The starfruit is shiny.	Makintab ang balimbing.
The starfruit is slippery.	Madulas ang balimbing.
The starfruit is special.	Espesyal ang balimbing.
